Date,Costumer outage,outage percentage
825,6216.216216,0.604161358
826,109459.4595,10.63849349
827,281351.3514,27.34486844
828,266216.2162,25.87386687
829,252702.7027,24.56047261
830,251621.6216,24.45540107
831,210540.5405,20.46268253
901,175405.4054,17.04785746
902,127297.2973,12.3721739
903,91621.62162,8.904813064
904,67297.2973,6.540703402
905,55405.40541,5.384916455
